title,path,collection,category,audience,pages,description,bytes,sha256,status,cover_path
Communications & Transparency Framework,documents/institutional/GoalOS_Sovereign_Reserve_Omega_17_Communications_Transparency_Framework_v2.pdf,Institutional,Communications,"Communications, governance",5,"Defines claim-status vocabulary, publication review, corrections, source lineage, confidentiality, and incident communications.",605633,8b1527cc176592a56dcb46cb2883a6c340eb989aac00b1c95928ace17632ae2a,PUBLIC,assets/covers/17_Communications_and_Transparency_Framework_Cover.jpg
Audit & Assurance Framework,documents/institutional/GoalOS_Sovereign_Reserve_Omega_18_Audit_Assurance_Framework_v2.pdf,Institutional,Assurance,"Auditors, board",5,"Defines internal audit, external assurance, technical conformance, rights review, findings, severity, remediation, and follow-up.",598011,640e3ed476191bb7ff32a6fe72bcbc10b31fdd4e80bb295fe5fbd14f420f43ae,PUBLIC,assets/covers/18_Audit_and_Assurance_Framework_Cover.jpg
Continuity & Resilience Plan,documents/institutional/GoalOS_Sovereign_Reserve_Omega_19_Continuity_Resilience_Plan_v2.pdf,Institutional,Resilience,"Operators, security",5,"Defines continuity, recovery priorities, minimal state reconstruction, communication, restoration tests, and reauthorization.",590992,462f965fbc82f4cc23baf9dee53c0163139de5397a1dea7edfe7674b68f7c5bc,PUBLIC,assets/covers/19_Continuity_and_Resilience_Plan_Cover.jpg
Amendment & Evolution Process,documents/institutional/GoalOS_Sovereign_Reserve_Omega_20_Amendment_Evolution_Process_v2.pdf,Institutional,Evolution,"Governance, engineers",5,"Defines proof-gated changes to charters, policies, models, agents, routing, schemas, and institutional controls.",599792,b3b84f1e28abb2adb410e57f1707fabba0c7018833da46173e07a036215c95d1,PUBLIC,assets/covers/20_Amendment_and_Evolution_Process_Cover.jpg
PROOF_LOOPS.md — Research Architecture,documents/research/00_PROOF_LOOPS_Research_Architecture.pdf,Research,Proof,All readers,12,Formalizes Objective → Proof Mission → AGI Jobs → Evidence → Chronicle → Validated Skill → Graph Root → Future Mission Improvement.,240928,2c41599a893c4c5ac0eacdf9b4416f4420b3d47ee73c04ed868049b29a6055db,PUBLIC,assets/covers/00_PROOF_LOOPS_Research_Architecture.jpg
AGI Alpha RSI — Sovereign Invention Governance,documents/research/01_AGI_Alpha_RSI_Sovereign_Invention_Governance.pdf,Research,RSI,"Researchers, governance",14,"Describes deterministic open-ended discovery, baseline-comparative evaluation, replay, stress, persistence, dossiers, and governed promotion.",908098,25fbbec0877043b664b0310dd413125560dcb5e6d29f4a54f664a509e04fd6f4,PUBLIC,assets/covers/01_AGI_Alpha_RSI_Sovereign_Invention_Governance.jpg
AGI.Eth Namespace + AGI Jobs,documents/research/04_AGI_Eth_Namespace_and_AGI_Jobs.pdf,Research,Identity,"Engineers, institutions",15,"Describes role-aware identity, scoped environments, proof-bearing work, validation, settlement, and bounded governance.",829852,0f65f8572dd9f5085c2ad7304262d1312fc062b69a20d971290b0378f6ab0eed,PUBLIC,assets/covers/04_AGI_Eth_Namespace_and_AGI_Jobs.jpg
ENS Routing as a Market Mechanism,documents/research/05_ENS_Routing_as_a_Market_Mechanism.pdf,Research,Routing,"Engineers, reviewers",12,"Describes commit-reveal routing, deterministic selection, receipts, challenges, and auditable allocation. Technical research only.",2932990,eaf43e4da0e10eacb424a97b6123af4fac11b2142ea85dfbe3cf9a41f1a269f0,PUBLIC,assets/covers/05_ENS_Routing_as_a_Market_Mechanism.jpg
Merkle Roots for the Validated Skill Graph,documents/research/06_Merkle_Roots_for_the_Validated_Skill_Graph.pdf,Research,Cryptography,"Engineers, reviewers",22,"Separates committed graph state from Chronicle authority and supports selective disclosure, continuity, revocation, and verification.",508050,3276b66b3aa84d1fadc51d2a398579a8b3108294fafea1a5e239e70dd0fed7de,PUBLIC,assets/covers/06_Merkle_Roots_for_the_Validated_Skill_Graph.jpg
GoalOS: Proof-Carrying Autonomy,documents/research/07_GoalOS_Proof_Carrying_Autonomy.pdf,Research,Canonical,"Executives, operators, researchers",32,"The canonical proof-to-capability operating system, including object model, evidence status, threat model, deployment path, and Proof Run 001.",391309,2b671af531b9df551e793ee8a76bbaa500d6ca6a453319f4f078c457b15dabeb,PUBLIC,assets/covers/07_GoalOS_Proof_Carrying_Autonomy.jpg
GoalOS: The Validated Skill Graph,documents/research/08_GoalOS_Validated_Skill_Graph.pdf,Research,Memory,"Researchers, operators",11,"Defines proof-carrying capability memory with scope, provenance, validators, freshness, rollback, revocation, and bounded reuse.",705966,209e7df713ac894190f52f338b7574b7b064cb9eb0d79b344ab5a402bded11a3,PUBLIC,assets/covers/08_GoalOS_Validated_Skill_Graph.jpg
GoalOS Mission OS,documents/research/09_GoalOS_Mission_OS.pdf,Research,Product,"Executives, buyers",10,"Explains the Governed Decision State, proof-to-action work, publication law, commercial wedge, conformance, and safety boundary.",240592,686afb9e7540a4c04def88775da7070421468c3a1cceb45e2cb339c8fac67159,PUBLIC,assets/covers/09_GoalOS_Mission_OS.jpg
AEP-001: Proof-of-Evolution Constitution,documents/research/10_AEP001_Proof_of_Evolution_Constitution.pdf,Research,Evolution,"Governance, engineers",21,"Defines proof-backed upgrade rights, public-private boundaries, evaluation, canaries, challenge windows, rollback, and evolution ledgers.",1962282,7512c3def0b89f48f1ec42be32b8f64bbf94fb447f3b3ca0aeb2a54428b5f033,PUBLIC,assets/covers/10_AEP001_Proof_of_Evolution_Constitution.jpg
