node_id,jurisdiction,AI_law,privacy_data,cyber_incident,consumer_competition,employment_worker,sector_licensing,corporate_ownership,tax_PE_VAT,transfer_pricing,sanctions_export,foreign_investment,procurement_funding,language_accessibility,records_evidence,official_source_snapshot,local_counsel_status,last_verified,next_review,activation_state
J044,Brazil,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J045,Mexico,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J046,Chile,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J047,Colombia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J048,Argentina,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J049,Uruguay,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J050,South Africa,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J051,Kenya,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J052,Rwanda,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J053,Nigeria,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J054,Mauritius,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J055,Morocco,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J056,Egypt,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J057,Turkey,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J058,Indonesia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J059,Malaysia,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J060,Thailand,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J061,Vietnam,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J062,Philippines,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J063,Portugal,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J064,Belgium,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J065,Austria,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J066,Czech Republic,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J067,US Federal Procurement,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J068,Europe - EuroHPC,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J069,Gulf Sovereign AI,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
J070,Global Cloud Credits,,,,,,,,,,,,,,,,NOT VALIDATED,,,DISCOVERY ONLY
